"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"LANDINGBB-2","BOTHELL LANDING BB-2","Land","On or below land surface, including most wells","50 ft E of SR 522/SR 527 intersection",,"Y","18120-18132 Bothell Way","Bothell","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7603763964309,-122.207116028035,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","AODE6294, FS379891",2/16/2010 3:30:15 PM,27905301
"LANDINGBLMW-10","BOTHELL LANDING BLMW-10","Land","On or below land surface, including most wells","160' N & 120' W OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",73975762,"Y","18120-18132 Bothell Way","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7595818967447,-122.207126408253,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",37.835,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","AODE6294, FS379891",4/17/2015 1:39:17 PM,100025124
"ULTRACH-B8","ULTRACH-B8","LAND","On or below land surface, including most wells","Former McGee property parking lot",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7612962070546,-122.207108492933,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",2/15/2012 4:14:57 PM,2905605
"ULTRACH-B2","ULTRACH-B2","LAND","On or below land surface, including most wells","NE 183rd St south of UltraCCC",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7608432887772,-122.207091092333,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",2/15/2012 4:14:56 PM,9095193
"ULTRACH-B13","ULTRACH-B13","LAND","On or below land surface, including most wells","Vacant area east of UltraCCC",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.761033696593,-122.20673490888,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",2/15/2012 4:14:54 PM,17148470
"ULTRACH-B1","ULTRACH-B1","LAND","On or below land surface, including most wells","NE 183rd St south of UltraCCC",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7608429107757,-122.207265980774,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",2/15/2012 4:14:52 PM,51273963
"ULTRACH-B12","ULTRACH-B12","LAND","On or below land surface, including most wells","Vacant area east of UltraCCC",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7611438021206,-122.206758481174,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",2/15/2012 4:14:52 PM,52497184
"ULTRACH-B9","ULTRACH-B9","LAND","On or below land surface, including most wells","Former McGee property parking lot",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7613159120036,-122.20728920117,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",2/15/2012 4:14:53 PM,62490504
"ULTRACH-B11","ULTRACH-B11","LAND","On or below land surface, including most wells","Former McGee property parking lot",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7614491974848,-122.207145604513,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",2/15/2012 4:14:58 PM,86666949
"ULTRACH-B4","ULTRACH-B4","LAND","On or below land surface, including most wells","NE 183rd St south of UltraCCC",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7608843054663,-122.206758687705,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",2/15/2012 4:14:54 PM,88826762
"ULTRACH-B3","ULTRACH-B3","LAND","On or below land surface, including most wells","NE 183rd St south of UltraCCC",,"N","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7608421931519,-122.206904209492,"Discrete monitoring point","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",2/15/2012 4:14:51 PM,92028528
"ULTRAMW-1","BOTHELL ULTRA MW-1","Land","On or below land surface, including most wells","670' N & 82' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609206653885,-122.207128450187,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.277,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:52 AM,100071762
"ULTRAMW-2","BOTHELL ULTRA MW-2","Land","On or below land surface, including most wells","800' N & 50' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7612344999016,-122.207300899805,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",47.462,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:54 AM,100071763
"ULTRAMW-3R","BOTHELL ULTRA MW-3R","Land","On or below land surface, including most wells","800' N & 160' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.761266350137,-122.20699769968,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",48.292,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:54 AM,100071764
"ULTRAUCCMW-4","BOTHELL ULTRA UCC MW-4","Land","On or below land surface, including most wells","680' N & 90' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609213300119,-122.207248298413,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",46.318,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:55 AM,100071765
"ULTRAUCCMW-6","BOTHELL ULTRA UCC MW-6","Land","On or below land surface, including most wells","600' N & 20' W OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7607200899741,-122.20766429855,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",42.073,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:55 AM,100071766
"ULTRAUCCMW-9","BOTHELL ULTRA UCC MW-9","Land","On or below land surface, including most wells","400' N & 10' W OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7601075561476,-122.207651953114,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",39.806,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:42:55 AM,100071767
